2017-04-17 09:28:49.1119 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:8000 

2017-04-17 09:29:41.7270 | INFO | HarnessControl.atopLog | Socket Server is connect :127.0.0.1:8000 

2017-04-17 09:30:04.1286 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:505 

2017-04-17 09:30:25.4382 | INFO | HarnessControl.atopLog | Socket Server is connect :127.0.0.1:505 

2017-04-17 09:38:39.7363 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:8000 

2017-04-17 09:38:51.6859 | INFO | HarnessControl.atopLog | Socket Server is connect :127.0.0.1:8000 

2017-04-17 09:39:16.9112 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:505 

2017-04-17 09:40:29.6385 | INFO | HarnessControl.atopLog | Socket Server is connect :127.0.0.1:505 

2017-04-17 09:41:24.8570 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:8000 

2017-04-17 09:42:21.0202 | INFO | HarnessControl.atopLog | Socket Server is connect :127.0.0.1:8000 

2017-04-17 09:42:39.7523 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:505 

2017-04-17 09:42:47.3077 | INFO | HarnessControl.atopLog | Socket Server is connect :127.0.0.1:505 

2017-04-17 09:44:06.2365 | INFO | HarnessControl.atopLog | Socket Server is connect :127.0.0.1:505 

2017-04-17 09:45:13.5966 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:8000 

2017-04-17 09:49:39.1218 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:8000 

2017-04-17 09:49:47.0283 | INFO | HarnessControl.atopLog | Socket Server is connect :127.0.0.1:8000 

2017-04-17 09:49:56.4518 | INFO | HarnessControl.atopLog | Socket Server is connect :127.0.0.1:8000 

2017-04-17 09:49:56.5208 | INFO | HarnessControl.atopLog | Control accept is Close 

2017-04-17 10:06:33.1747 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:8000 

2017-04-17 10:06:34.4277 | INFO | HarnessControl.atopLog | Socket Server is connect :127.0.0.1:8000 

2017-04-17 10:07:47.4378 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:8000 

2017-04-17 10:07:49.2149 | INFO | HarnessControl.atopLog | Socket Server is connect :127.0.0.1:8000 

2017-04-17 10:28:23.2619 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:8000 

2017-04-17 14:33:18.7368 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:8000 

2017-04-17 14:33:20.1898 | INFO | HarnessControl.atopLog | Socket Server is connect :127.0.0.1:8000 

2017-04-17 14:48:40.0384 | INFO | HarnessControl.atopLog | Socket Server is ready :127.0.0.1:8000 

2017-04-17 14:57:48.9268 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-17 14:59:07.5713 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-17 16:14:19.1904 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-17 16:14:36.5024 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-17 16:14:38.7945 | INFO | HarnessControl.atopLog | Control accept : 無法從傳輸連接讀取資料: 連線已被您主機上的軟體中止。。 

2017-04-17 16:14:38.8045 | INFO | HarnessControl.atopLog | Server accept is disconnect:10.0.176.200:8000 

2017-04-17 16:14:42.3827 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-17 16:14:43.0098 | INFO | HarnessControl.atopLog | Control accept : 無法從傳輸連接讀取資料: 連線已被您主機上的軟體中止。。 

2017-04-17 16:14:43.0098 | INFO | HarnessControl.atopLog | Server accept is disconnect:10.0.176.200:8000 

2017-04-17 16:14:52.3593 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-17 16:14:57.7336 | INFO | HarnessControl.atopLog | Control accept : 無法從傳輸連接讀取資料: 連線已被您主機上的軟體中止。。 

2017-04-17 16:14:57.7446 | INFO | HarnessControl.atopLog | Server accept is disconnect:10.0.176.200:8000 

2017-04-17 16:15:50.3466 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-04-17 16:15:52.5267 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-17 16:15:58.4371 | INFO | HarnessControl.atopLog | Control accept : 無法從傳輸連接讀取資料: 連線已被您主機上的軟體中止。。 

2017-04-17 16:15:58.4371 | INFO | HarnessControl.atopLog | Server accept is disconnect:10.0.176.200:8000 

2017-04-17 16:16:00.1432 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-04-17 16:16:01.9363 | INFO | HarnessControl.atopLog | Control accept : 無法從傳輸連接讀取資料: 遠端主機已強制關閉一個現存的連線。。 

2017-04-17 16:16:01.9363 | INFO | HarnessControl.atopLog | Server accept is disconnect:10.0.176.200:8000 

