2017-04-27 11:41:47.8917 | ERROR | HarnessControl.atopLog | No find Backend01
 

2017-04-27 11:46:26.0946 | ERROR | HarnessControl.atopLog | Connect Fail! 

2017-04-27 14:44:34.0211 | ERROR | HarnessControl.atopLog | 並未將物件參考設定為物件的執行個體。 

2017-04-27 14:51:47.9520 | ERROR | HarnessControl.atopLog | 索引超出範圍。必須為非負數且小於集合的大小。
參數名稱: index 

2017-04-27 14:51:54.6804 | ERROR | HarnessControl.atopLog | 索引超出範圍。必須為非負數且小於集合的大小。
參數名稱: index 

2017-04-27 14:52:21.2619 | ERROR | HarnessControl.atopLog | 索引超出範圍。必須為非負數且小於集合的大小。
參數名稱: index 

2017-04-27 15:01:12.3452 | ERROR | HarnessControl.atopLog | 指定的索引鍵不在字典中。 

2017-04-27 15:02:02.1581 | ERROR | HarnessControl.atopLog | 指定的索引鍵不在字典中。 

2017-04-27 15:03:47.6381 | ERROR | HarnessControl.atopLog | 指定的索引鍵不在字典中。 

2017-04-27 15:14:43.7617 | ERROR | HarnessControl.atopLog | Add point fail : [Receive Timeout] Command : smbdb action clear 

2017-04-27 15:15:13.5934 | ERROR | HarnessControl.atopLog | Add point fail : [Receive Timeout] Command : smbdb action clear 

2017-04-27 15:15:56.2778 | ERROR | HarnessControl.atopLog | Add point fail : [Receive Timeout] Command : smbdb action clear 

2017-04-27 15:20:00.9648 | ERROR | HarnessControl.atopLog | Add point fail : [Receive Timeout] Command : smbdb action clear 

2017-04-27 15:23:17.2870 | ERROR | HarnessControl.atopLog | Add point fail : [Receive Timeout] Command : smbdb action clear 

2017-04-27 15:43:50.5626 | ERROR | HarnessControl.atopLog | [Harness Exception]  Channel name must be unique and contain at least one non-numeric character 
 

2017-04-27 15:44:44.0656 | ERROR | HarnessControl.atopLog | [Harness Exception]  Channel name must be unique and contain at least one non-numeric character 
 

2017-04-27 15:44:51.7661 | ERROR | HarnessControl.atopLog | [Harness Exception]  Channel name must be unique and contain at least one non-numeric character 
 

2017-04-27 15:45:24.5509 | ERROR | HarnessControl.atopLog | 輸入字串格式不正確。 

2017-04-27 15:45:45.1481 | ERROR | HarnessControl.atopLog | 輸入字串格式不正確。 

2017-04-27 15:52:38.4448 | ERROR | HarnessControl.atopLog | 指定的索引鍵不在字典中。 

2017-04-27 15:52:38.6008 | ERROR | HarnessControl.atopLog | 已經加入含有相同索引鍵的項目。 

2017-04-27 15:52:38.7438 | ERROR | HarnessControl.atopLog | 已經加入含有相同索引鍵的項目。 

2017-04-27 15:52:38.8558 | ERROR | HarnessControl.atopLog | 已經加入含有相同索引鍵的項目。 

2017-04-27 15:52:38.9308 | ERROR | HarnessControl.atopLog | 已經加入含有相同索引鍵的項目。 

2017-04-27 15:52:39.0118 | ERROR | HarnessControl.atopLog | 已經加入含有相同索引鍵的項目。 

2017-04-27 15:52:39.1058 | ERROR | HarnessControl.atopLog | 已經加入含有相同索引鍵的項目。 

2017-04-27 15:52:39.1868 | ERROR | HarnessControl.atopLog | 已經加入含有相同索引鍵的項目。 

2017-04-27 15:52:39.2728 | ERROR | HarnessControl.atopLog | 已經加入含有相同索引鍵的項目。 

