2017-05-03 10:33:43.7714 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-05-03 10:35:01.8075 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-05-03 10:38:00.5469 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-05-03 10:39:36.1185 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-05-03 10:56:40.4090 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-05-03 10:56:43.5144 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-05-03 10:57:03.3306 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:505 

2017-05-03 10:59:24.1477 | INFO | HarnessControl.atopLog | 10.0.176.200:8000 Control accept : 無法從傳輸連接讀取資料: 遠端主機已強制關閉一個現存的連線。。 

2017-05-03 10:59:24.1633 | INFO | HarnessControl.atopLog | Server accept is disconnect:10.0.176.200:8000 

2017-05-03 10:59:55.7397 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:8000 

2017-05-03 11:00:03.6471 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:8000 

2017-05-03 11:00:25.1304 | INFO | HarnessControl.atopLog | Socket Server is ready : 10.0.176.200:505 

2017-05-03 11:00:40.7563 | INFO | HarnessControl.atopLog | Socket Server is connect :10.0.176.200:505 

2017-05-03 11:01:14.0852 | INFO | HarnessControl.atopLog | PollControl Loop:1 

2017-05-03 11:01:14.0852 | INFO | HarnessControl.atopLog | PollControl Loop:2 

2017-05-03 11:01:14.0852 | INFO | HarnessControl.atopLog | PollControl Loop:3 

2017-05-03 11:01:14.0962 | INFO | HarnessControl.atopLog | PollControl Loop:4 

2017-05-03 11:01:14.0962 | INFO | HarnessControl.atopLog | PollControl Loop:5 

2017-05-03 11:01:14.0962 | INFO | HarnessControl.atopLog | PollControl Loop:6 

2017-05-03 11:01:14.0962 | INFO | HarnessControl.atopLog | PollControl Loop:7 

2017-05-03 11:01:14.0962 | INFO | HarnessControl.atopLog | PollControl Loop:8 

2017-05-03 11:01:14.1112 | INFO | HarnessControl.atopLog | PollControl Loop:9 

